loss,mape,val_loss,val_mape
0.029704531654715538,1199279.0,0.017032131552696228,312659.875
0.010554851032793522,1178199.75,0.009204805828630924,662446.1875
0.007867544889450073,1191696.375,0.0054911039769649506,367665.125
0.0066092233173549175,1213978.25,0.003995762672275305,600606.375
0.005624731536954641,1173001.625,0.002561071887612343,417543.21875
0.005194078665226698,1181766.25,0.002964070998132229,583987.625
0.0047528743743896484,1198953.375,0.004244871437549591,392440.0625
0.004495271481573582,1143752.0,0.002434689784422517,507464.53125
0.00428707106038928,1183040.875,0.003339821705594659,376656.4375
0.004122899379581213,1160342.625,0.0021858022082597017,504197.84375
0.003941311966627836,1164595.875,0.0027891634963452816,435365.125
0.0037855610717087984,1149455.5,0.002247449243441224,479800.53125
0.003719347296282649,1121434.125,0.0019251583144068718,403443.875
0.0035780477337539196,1161231.0,0.0019486573291942477,466089.53125
0.003571002511307597,1158286.75,0.0017703658668324351,437580.15625
0.0035272862296551466,1147467.875,0.002490040846168995,370815.84375
0.0034664194099605083,1143422.75,0.002068938221782446,459306.28125
0.0034195196349173784,1166762.5,0.002793071558699012,506705.84375
0.0033276283647865057,1139327.125,0.0017803359078243375,444064.9375
0.0033267789985984564,1167102.875,0.003348548198118806,342898.8125
0.003314102301374078,1160288.75,0.00225154054351151,364863.28125
0.003213395830243826,1161572.625,0.0018569477833807468,372572.8125
0.003197337035089731,1168752.75,0.002243723487481475,380521.84375
0.0031363805755972862,1152092.625,0.0018908254569396377,452482.0625
0.0031320014968514442,1144860.5,0.0019558339845389128,441964.09375
0.003088661702349782,1183442.75,0.002588487695902586,498696.5625
0.003110765013843775,1169716.125,0.0018535215640440583,468448.78125
0.0030453745275735855,1165507.625,0.0018321037059649825,435188.9375
0.0030415882356464863,1172940.5,0.0021846338640898466,466586.65625
0.0030342626851052046,1175122.875,0.0018301516538485885,435546.40625
0.0029774634167551994,1185300.125,0.0019098131451755762,442483.25
0.002953333780169487,1159414.5,0.0025242490228265524,369590.15625
0.002915520453825593,1155296.25,0.0020193904638290405,442912.875
0.00295378384180367,1172287.75,0.002416505478322506,427672.96875
0.002928556641563773,1164630.5,0.0024722302332520485,450766.5625
0.002870983676984906,1170573.25,0.0025843146722763777,395133.71875
0.0028902871999889612,1179690.875,0.0022288388572633266,455650.5
0.002843280788511038,1168699.625,0.0017308004898950458,551482.5
